,threads,keys,operations,searc,insert,time
218,8.0,1000.0,1000.0,0.1,0.2,0.008403
219,8.0,1000.0,1000.0,0.1,0.3,0.007916
220,8.0,1000.0,1000.0,0.1,0.4,0.008501
221,8.0,1000.0,1000.0,0.1,0.5,0.008758
222,8.0,1000.0,1000.0,0.1,0.6,0.010023
223,8.0,1000.0,1000.0,0.1,0.7,0.00951
224,8.0,1000.0,1000.0,0.1,0.8,0.010037
225,8.0,1000.0,1000.0,0.1,0.9,0.010222
226,8.0,1000.0,1000.0,0.2,0.0,0.00784
227,8.0,1000.0,1000.0,0.2,0.1,0.00872
228,8.0,1000.0,1000.0,0.2,0.2,0.007887
229,8.0,1000.0,1000.0,0.2,0.3,0.009896
230,8.0,1000.0,1000.0,0.2,0.4,0.00892
231,8.0,1000.0,1000.0,0.2,0.5,0.011497
232,8.0,1000.0,1000.0,0.2,0.6,0.010673
233,8.0,1000.0,1000.0,0.2,0.7,0.011553
234,8.0,1000.0,1000.0,0.2,0.8,0.011837
235,8.0,1000.0,1000.0,0.3,0.0,0.008106
236,8.0,1000.0,1000.0,0.3,0.1,0.008882
237,8.0,1000.0,1000.0,0.3,0.2,0.009216
238,8.0,1000.0,1000.0,0.3,0.3,0.01001
239,8.0,1000.0,1000.0,0.3,0.4,0.010856
240,8.0,1000.0,1000.0,0.3,0.5,0.010397
241,8.0,1000.0,1000.0,0.3,0.6,0.012891
242,8.0,1000.0,1000.0,0.3,0.7,0.011963
243,8.0,1000.0,1000.0,0.4,0.0,0.009041
244,8.0,1000.0,1000.0,0.4,0.1,0.008942
245,8.0,1000.0,1000.0,0.4,0.2,0.009775
246,8.0,1000.0,1000.0,0.4,0.3,0.009397
247,8.0,1000.0,1000.0,0.4,0.4,0.009357
248,8.0,1000.0,1000.0,0.4,0.5,0.012605
249,8.0,1000.0,1000.0,0.4,0.6,0.012409
250,8.0,1000.0,1000.0,0.5,0.0,0.009073
251,8.0,1000.0,1000.0,0.5,0.1,0.010428
252,8.0,1000.0,1000.0,0.5,0.2,0.010883
253,8.0,1000.0,1000.0,0.5,0.3,0.012886
254,8.0,1000.0,1000.0,0.5,0.4,0.013798
255,8.0,1000.0,1000.0,0.5,0.5,0.01283
256,8.0,1000.0,1000.0,0.6,0.0,0.00956
257,8.0,1000.0,1000.0,0.6,0.1,0.011169
258,8.0,1000.0,1000.0,0.6,0.2,0.01249
259,8.0,1000.0,1000.0,0.6,0.3,0.012662
260,8.0,1000.0,1000.0,0.6,0.4,0.013253
261,8.0,1000.0,1000.0,0.7,0.0,0.010013
262,8.0,1000.0,1000.0,0.7,0.15,0.011362
263,8.0,1000.0,1000.0,0.7,0.3,0.012616
264,8.0,1000.0,1000.0,0.8,0.0,0.008807
265,8.0,1000.0,1000.0,0.8,0.1,0.01065
